Nro,Provincia,Capital
1,Buenos Aires,La Plata
2,Catamarca,San Fernando del Valle de Catamarca
3,Chaco,Resistencia
4,Chubut,Rawson
5,Córdoba,Córdoba
6,Corrientes,Corrientes
7,Entre Ríos,Paraná
8,Formosa,Formosa
9,Jujuy,San Salvador de Jujuy
10,La Pampa,Santa Rosa
11,La Rioja,La Rioja
12,Mendoza,Mendoza
13,Misiones,Posadas
14,Neuquén,Neuquén
15,Río Negro,Viedma
16,Salta,Salta
17,San Juan,San Juan
18,San Luis,San Luis
19,Santa Cruz,Río Gallegos
20,Santa Fe,Santa Fe
21,Santiago del Estero,Santiago del Estero
22,Tierra del Fuego,Ushuaia
23,Tucumán,San Miguel de Tucumán
